architect /ˈɑːrkɪtekt/ 建筑师
neutral /ˈnuːtrəl/ 中立的
monitor /ˈmɑːnɪtər/ 显示器
niece [niːs] 侄女/外甥女
nephew [ˈnefjuː] 侄子/外甥
cousins [ˈkʌzənz] 表兄妹***
colleague [ˈkɑːliːɡ] 同事
secretary /ˈsekrəteri/ 秘书**
flight attendant [əˈtendənt] 飞机乘务员***
accounting [əˈkaʊntɪŋ] 会计
receptionist [rɪˈsepʃənɪst] 接待员
polyester [ˈpɑːliestər]聚酯纤维**
sandwich [ˈsænwɪtʃ] 三明治
Strawberry [ˈstrɔːberi] 草莓
durian [ˈdʊriən] 榴莲
cucumber [ˈkjuːkʌmbər] 黄瓜***
campsite [ˈkæmpsaɪt]  露营***
timid [ˈtɪmɪd] 胆小的***

clothes store 服装店
clothing store 服装店
100 million 一亿

gymnastics /dʒɪmˈnæstɪks/ 体操
